Timestamp,Machine ID,Machine Type,Operator ID,Engine Hours,Fuel Used (L),Load Cycles,Idling Time (min),Seatbelt Status,Proximity Alert,Safety Alert Triggered,Incident Logged
2025-05-01 08:00:00,EXC001,Excavator,OP1006,1529.0,2.0,5,30,Fastened,No,No,No
2025-05-01 08:00:00,LOD001,Loader,OP1002,1448.3,4.7,12,15,Fastened,No,No,No
2025-05-01 08:00:00,LOD002,Loader,OP1004,1549.8,4.1,5,25,Unfastened,No,Yes,Yes
2025-05-01 10:00:00,EXC001,Excavator,OP1006,1533.9,3.0,5,40,Fastened,No,No,No
2025-05-01 10:00:00,EXC002,Excavator,OP1003,1412.2,1.9,5,0,Fastened,No,No,No
2025-05-01 10:00:00,EXC003,Excavator,OP1003,1456.5,3.0,15,30,Fastened,No,No,No
2025-05-01 10:00:00,LOD001,Loader,OP1002,1450.6,2.0,0,5,Fastened,No,No,No
2025-05-01 10:00:00,LOD002,Loader,OP1004,1553.0,5.6,12,15,Fastened,No,No,No
2025-05-01 12:00:00,EXC001,Excavator,OP1006,1531.8,3.8,8,10,Unfastened,No,Yes,Yes
2025-05-01 12:00:00,EXC002,Excavator,OP1003,1408.0,5.5,8,60,Fastened,No,Yes,No
2025-05-01 12:00:00,EXC003,Excavator,OP1003,1462.4,5.8,5,0,Fastened,No,No,No
2025-05-01 12:00:00,LOD001,Loader,OP1002,1446.6,6.5,8,10,Fastened,No,No,No
2025-05-01 12:00:00,LOD002,Loader,OP1004,1554.0,5.5,10,60,Fastened,No,Yes,Yes
2025-05-01 14:00:00,EXC002,Excavator,OP1003,1410.5,6.2,10,35,Fastened,No,No,No
2025-05-01 14:00:00,EXC003,Excavator,OP1003,1459.3,2.4,8,60,Fastened,No,Yes,No
2025-05-02 08:00:00,EXC001,Excavator,OP1006,1539.7,2.0,8,0,Fastened,No,No,No
2025-05-02 08:00:00,EXC002,Excavator,OP1002,1416.7,2.7,5,30,Fastened,No,No,No
2025-05-02 08:00:00,EXC003,Excavator,OP1001,1465.7,6.2,1,10,Fastened,No,No,No
2025-05-02 08:00:00,LOD001,Loader,OP1006,1453.4,5.9,2,5,Fastened,No,No,No
2025-05-02 10:00:00,LOD001,Loader,OP1006,1456.1,5.1,8,0,Fastened,No,No,No
2025-05-02 10:00:00,LOD002,Loader,OP1002,1556.2,6.3,15,5,Fastened,No,No,No
2025-05-02 12:00:00,EXC001,Excavator,OP1006,1535.3,5.7,8,40,Fastened,Yes,Yes,No
2025-05-02 12:00:00,EXC002,Excavator,OP1002,1415.4,3.2,15,30,Fastened,No,No,No
2025-05-02 12:00:00,EXC003,Excavator,OP1001,1468.5,2.0,8,20,Fastened,No,No,No
2025-05-02 12:00:00,LOD002,Loader,OP1002,1562.2,4.2,2,10,Fastened,No,No,No
2025-05-02 14:00:00,EXC001,Excavator,OP1006,1536.3,6.6,12,45,Fastened,Yes,Yes,No
2025-05-02 14:00:00,EXC002,Excavator,OP1002,1413.9,6.3,8,10,Fastened,No,No,No
2025-05-02 14:00:00,EXC003,Excavator,OP1001,1467.0,6.6,10,20,Fastened,No,No,No
2025-05-02 14:00:00,LOD001,Loader,OP1006,1454.9,4.0,12,0,Fastened,No,No,No
2025-05-02 14:00:00,LOD002,Loader,OP1002,1559.5,5.8,5,35,Fastened,No,No,No
2025-05-03 08:00:00,EXC001,Excavator,OP1001,1544.7,5.2,5,5,Unfastened,No,Yes,No
2025-05-03 08:00:00,EXC002,Excavator,OP1002,1426.1,6.3,8,5,Fastened,No,No,No
2025-05-03 08:00:00,EXC003,Excavator,OP1005,1471.8,2.1,12,10,Unfastened,No,Yes,Yes
2025-05-03 08:00:00,LOD002,Loader,OP1005,1570.2,5.4,8,0,Fastened,No,No,No
2025-05-03 10:00:00,EXC002,Excavator,OP1002,1422.9,7.0,1,10,Fastened,No,No,No
2025-05-03 10:00:00,EXC003,Excavator,OP1005,1476.8,1.8,10,45,Fastened,No,Yes,Yes
2025-05-03 10:00:00,LOD001,Loader,OP1003,1458.5,3.9,0,0,Unfastened,No,Yes,No
2025-05-03 12:00:00,EXC001,Excavator,OP1001,1542.2,4.3,12,5,Unfastened,No,Yes,Yes
2025-05-03 12:00:00,EXC002,Excavator,OP1002,1419.4,3.1,5,40,Fastened,No,No,No
2025-05-03 12:00:00,EXC003,Excavator,OP1005,1473.5,2.7,5,35,Unfastened,No,Yes,Yes
2025-05-03 12:00:00,LOD001,Loader,OP1003,1461.6,4.7,2,5,Fastened,No,No,No
2025-05-03 12:00:00,LOD002,Loader,OP1005,1568.8,5.8,8,35,Fastened,No,No,No
2025-05-03 14:00:00,EXC001,Excavator,OP1001,1547.2,3.8,10,25,Unfastened,No,Yes,No
2025-05-03 14:00:00,LOD001,Loader,OP1003,1464.6,6.2,12,10,Fastened,No,No,No
2025-05-03 14:00:00,LOD002,Loader,OP1005,1565.5,2.8,2,45,Fastened,No,Yes,Yes
2025-05-04 08:00:00,EXC001,Excavator,OP1004,1552.4,4.7,15,0,Fastened,No,No,No
2025-05-04 08:00:00,EXC002,Excavator,OP1003,1432.2,3.2,12,35,Fastened,No,No,No
2025-05-04 08:00:00,LOD001,Loader,OP1006,1472.5,4.7,10,15,Fastened,No,No,No
2025-05-04 08:00:00,LOD002,Loader,OP1006,1571.7,5.9,10,20,Fastened,No,No,No
2025-05-04 10:00:00,EXC001,Excavator,OP1004,1550.7,4.3,10,45,Fastened,Yes,Yes,No
2025-05-04 10:00:00,EXC003,Excavator,OP1004,1481.6,3.7,12,10,Fastened,No,No,No
2025-05-04 10:00:00,LOD001,Loader,OP1006,1466.3,5.2,10,0,Unfastened,No,Yes,No
2025-05-04 10:00:00,LOD002,Loader,OP1006,1575.9,3.9,12,50,Fastened,No,Yes,No
2025-05-04 12:00:00,EXC001,Excavator,OP1004,1548.8,5.1,8,10,Fastened,No,No,No
2025-05-04 12:00:00,EXC002,Excavator,OP1003,1430.4,5.5,10,35,Fastened,Yes,Yes,No
2025-05-04 12:00:00,EXC003,Excavator,OP1004,1479.2,2.6,10,15,Fastened,No,No,No
2025-05-04 12:00:00,LOD001,Loader,OP1006,1469.3,2.3,0,60,Fastened,No,Yes,No
2025-05-04 14:00:00,EXC002,Excavator,OP1003,1428.1,4.7,5,35,Fastened,No,No,No
2025-05-04 14:00:00,EXC003,Excavator,OP1004,1484.1,3.3,8,35,Fastened,No,No,No
2025-05-04 14:00:00,LOD002,Loader,OP1006,1573.0,2.2,8,25,Fastened,No,No,No
2025-05-05 08:00:00,EXC003,Excavator,OP1006,1490.5,3.4,12,10,Unfastened,No,Yes,No
